Treatment,Duration,Results,Pricing,Key Benefits,Image Folder Link,Video Link
"About 
London Clinic
Edinburgh Clinic",,,,,https://drive.google.com/drive/folders/1x1HB6O2q-T01FvZO_f9_sM32sz0ViWJd,
Sculptra,30-60 minutes,Gradual volumising and skin quality improvement over 4–12 weeks; full results in ~3–6 months,From ,"• Stimulates natural collagen production
• Gradually restores facial volume and structure
• Improves skin firmness and elasticity
• Long-lasting, subtle, natural-looking results
• Treats hollow cheeks, temples, and jawline definition
• Minimal downtime and low risk of allergic reaction",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Exilis,30–60 minutes,Progressive improvement over 4–12 weeks after a course,From £420,"• Skin tightening
• Stimulates collagen
• Cellulite improvement
• Body contouring in targeted areas
• Minimal downtime
• Suitable for multiple body areas",https://drive.google.com/drive/folders/1H0sqhxqAfzUEp3lKnJU6Ml6a02Uqq5q2?usp=sharing,
Hifu,45–90 minutes,Lifting and tightening develops over 8–12 weeks; results can last 12–18 months,From £735,"
• Non-invasive facial lifting
• Stimulates collagen & elastin
• Contours jawline/cheeks
• Softens wrinkles
• Minimal downtime
• Long-lasting results
",https://drive.google.com/drive/folders/1-LYyCeNxxptcyk2ttYRS0jNfBDRnqofP?usp=drive_link,
Cool Laser,30–60 minutes,Immediate glow with continued improvement over several weeks,From £263,"• Reduces fine lines
• Improves texture & tone
• Targets pigmentation
• Helps acne scarring
• Minimal downtime
• Stimulates collagen",https://drive.google.com/drive/folders/1Njl0FkD_fIjR0n99ZJCfvD7N47HJ8fNt?usp=drive_link,
CoolSculpting,35–60 minutes per cycle,Fat reduction visible in 8–12 weeks,From £800,"• Non-surgical fat reduction 
• Targets stubborn fat
• Minimal downtime
• Permanent fat-cell removal
• Contour improvement
• Clinically proven",https://drive.google.com/drive/folders/1iXfEu2L9NlmCXQYd5x_eoAAYiMv8c_UW?usp=drive_link,
Laser Hair Removal,15–60 minutes,Long-term hair reduction after 6–8 sessions,From £105,"
• Long-term reduction
• Precision targeting
• Fast treatments
• Less ingrown hairs
• Smooth skin
• Cost-effective",https://drive.google.com/drive/folders/1EDA6beaX6pfjtBz0msAuFd7J3r5BQ7tX?usp=drive_link,
Electrolysis,15–60 minutes,Permanent hair removal achieved over a series,From £42,"• Works on all hair/skin types
• Treats blonde/white hairs
• Highly precise
• Medically Cerified 
• Great for small areas
• Long-term results",No page yet,
Medik8 ,30–60 minutes,Immediate glow; progressive results with a course,From £210,"• Exfoliates & resurfaces
• Hydrates and soothes
• Brightens
• Minimizes pores
• Customisable
• Suitable for sensitive skin",https://drive.google.com/drive/folders/18CfcSDXnMKu_qOM6eIjaW2SknIM9oX1o,
Obagi,30–60 minutes ,Improvements in 1–4 weeks for peels; ongoing with homecare,From £250,"
• Targets hyperpigmentation
• Improves texture & tone
• Supports acne control
• Anti-ageing
• Brightens
• Medical-grade formulations",https://drive.google.com/drive/folders/18CfcSDXnMKu_qOM6eIjaW2SknIM9oX1o,
ZO ,30–60 minutes,Peel/facial results in days to weeks; longer-term with program use,From £190,"• Improves pigmentation
• Refines texture & pores
• Anti-ageing
• Supports acne/oil control
• Hydrates & calms
• Professional-strength
",https://drive.google.com/drive/folders/18CfcSDXnMKu_qOM6eIjaW2SknIM9oX1o,
Skin Scanner,15–30 minutes,Immediate analysis and recommendations,Free,"• Objective assessment
• Identifies pigmentation/UV damage
• Tracks progress
• Personalised plan
• Baseline photography
• Highlights concerns
",https://drive.google.com/drive/folders/1L-x-_NphzZnlpPXHOM9YLdygE5tR5MYL?usp=drive_link,
Hydrafacial,30–60 minutes,"Immediate glow; clearer, hydrated skin for days to weeks",From £168,"
• Cleanses, exfoliates, extracts, hydrates
• No downtime
• All skin types
• Improves tone & texture
• Reduces congestion
• Boosts radiance",https://drive.google.com/drive/folders/1_64SqLYtpCCwSOgLVOlDQMp2mq5o0x1c?usp=drive_link,
HydraTite,60 minutes,Immediate clean glow with firmer feel; collagen builds over weeks,From £300,"• Deep cleansing & hydration
• Tightening
• Stimulates collagen
• Refines pores
• Improves firmness
• Minimal downtime",https://drive.google.com/drive/folders/1_64SqLYtpCCwSOgLVOlDQMp2mq5o0x1c?usp=drive_link,
Oxygen Facial,45–60 minutes,Instant plump/glow; cumulative with a course,From £168,"• Boosts radiance
• Hydrates & soothes
• Great for sensitive skin
• Softens fine lines
• Improves absorption
• No downtime
",https://drive.google.com/drive/folders/1He-Zi5vSnAjaxdk81890JWUql9yT6cQa?usp=drive_link,
Keravive,45 minutes,Scalp quality improves in 1–4 weeks after series,From £315,"
• Removes dead skin build-up
• Hydrates scalp
• Reduces flaking
• Promotes fuller-looking hair
• Improves circulation
• Complements hair-loss programs",https://drive.google.com/drive/folders/1HBjkN5O_IZkDwHnFm-lS8g4mXHLHFLiV?usp=drive_link,
LED Facial,20–30 minutes,Cumulative benefits over 4–6 weeks,From £168,"• Reduces inflammation
• Helps acne
• Stimulates collagen
• Speeds healing
• Improves tone
• No downtime",No page yet,
Microneedling ,45–60 minutes,Collagen remodeling over 4–6 weeks; course recommended,From £250,"• Improves texture
• Softens scars
• Minimizes pores
• Reduces lines
• Evens tone
• Enhances absorption",https://drive.google.com/drive/folders/1oAyiM6Jne5r1weQ0ru1vhcJZmL4JsDD9?usp=drive_link,
Exosome,45–60 minutes ,Faster recovery and visible quality improvements in 1–4 weeks,From £700,"• Enhances healing
• Reduces redness
• Improves texture & tone
• Brightens
• Boosts collagen
• Calms inflammation",https://drive.google.com/drive/folders/1oAyiM6Jne5r1weQ0ru1vhcJZmL4JsDD9?usp=drive_link,https://www.instagram.com/reel/DOWsijEDIoC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Dermaplaning,30–45 minutes,Immediate smoothness and brightness,From £79,"• Removes vellus hair
• Gentle exfoliation
• Improves makeup application
• Brighter skin
• No downtime
• Suitable for most types",No page yet,
Anti Wrinkle,15–30 minutes,Onset 3–5 days; full effect 10–14 days; lasts ~3–4 months,From £262,"• Softens lines
• Prevents new ones
• Quick
• No downtime
• Targeted
• Treats multiple areas
",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Carboxy,30–45 minutes,"Brighter, firmer look develops over 2–4 weeks",From £80,"• Improves circulation
• Brightens
• Reduces dark circles
• Stimulates collagen
• Helps cellulite
• Minimal downtime
",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Biofiller ,60–90 minutes,Immediate volume with biostimulation over weeks,N/A,"
• Autologous (uses plasma)
• Restores volume
• Stimulates collagen
• Low allergy risk
• Improves texture
• Suitable for delicate areas
",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Dermal Filler,30–60 minutes,Immediate results; settles over 1–2 weeks,From £262,"
• Restores volume
• Sculpts contours
• Smooths folds
• Quick
• Customisable
• Dissolvable HA",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Mole Removal,20–45 minutes,Immediate removal; healing 1–3 weeks,From £473,"• Quick under local anaesthetic
• Precise
• Minimal downtime
• Option for histology
• Suitable for many lesions
• Scar-minimising",https://drive.google.com/drive/folders/1ULnWbMn0195dDiv-Qd7UU5mAN8292Kyb?usp=drive_link,
Polynucleotides,30–45 minutes,Skin quality improves in 2–6 weeks; course advised,From £450,"• Naturally revitalises
• Improves elasticity
• Hydrates & smooths
• Reduces lines
• Brightens
• Safe for delicate areas",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
PRP Hair,45–60 minutes,Texture/quality improves over 4–8 weeks; hair over months,From £500,"
• Uses your own platelets
• Stimulates collagen
• Improves texture
• Supports hair growth
• Minimal downtime
• Aids healing",https://drive.google.com/drive/folders/1HBjkN5O_IZkDwHnFm-lS8g4mXHLHFLiV?usp=drive_link,
Profhilo,15–30 minutes,Hydration/elasticity improve in 2–4 weeks; typically 2 sessions,From £495,"• Intense hydration
• Improves elasticity
• Enhances skin quality
• Minimal downtime
• Natural look
• Bio-remodelling",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Neofound,15–30 minutes,"Brighter, smoother skin in 2–4 weeks; course recommended",From £263,"• Brightens
• Reduces lines
• Improves elasticity
• Hydrates
• Evens tone
• Minimal downtime
",No page yet,
Sclerotherapy,30–60 minutes,Spider veins fade over 4–12 weeks,From £210,"• Minimally invasive
• Targets veins
• Improves leg appearance
• Outpatient
• Proven technique
• High satisfaction",No page yet,
Allergy,30–60 minutes ,Results within days,From £90,"• Identify triggers
• Personalised plan
• Quick tests
• Clinician supervised
• Actionable advice
• Long-term control",https://drive.google.com/drive/folders/18EXcqZtcyIA2xBTpEryvIxLXgb38G3PP?usp=drive_link,
B12,10–15 minutes,Energy and wellbeing may improve over days to weeks,From £32,"• Addresses deficiency
• Supports energy metabolism
• Nervous system support
• Quick
• Minimal downtime
• Intramuscular",https://drive.google.com/drive/folders/18EXcqZtcyIA2xBTpEryvIxLXgb38G3PP?usp=drive_link,
Biotin,10–15 minutes,Benefits typically seen over several weeks,From £35,"
• Supports hair/skin/nails
• Healthy metabolism
• Quick
• Adjunct for deficiency
• Minimal downtime
• Simple injection",https://drive.google.com/drive/folders/1NMb58iZD9jsRG2CDZSbmIqQOBGdY7XcO?usp=drive_link,
Glutathione,15–30 minutes,Skin/antioxidant benefits accrue over weeks,From £74,"• Antioxidant
• Brightens skin
• Detox support
• Immune support
• Minimal downtime
• IV/IM administration",https://drive.google.com/drive/folders/1NMb58iZD9jsRG2CDZSbmIqQOBGdY7XcO?usp=drive_link,
IV Drip,30–60 minutes,Immediate hydration/energy; recovery in hours to days,From £204,"• Rapid rehydration
• Replenishes nutrients
• Powerful energy booster
• Customisable blends
• Professional administration
• Fast absorption",https://drive.google.com/drive/folders/1-Wf2jH5-tkCwP3BlRfRr2YAai1Kgc-rJ?usp=drive_link,
Magnesium,10–15 minutes,Muscle/nerve benefits may be felt over days,From £32,"• Relieves cramps
• Supports nerve function
• May aid sleep
• Quick session
• Addresses deficiency
• Minimal downtime
",https://drive.google.com/drive/folders/1NMb58iZD9jsRG2CDZSbmIqQOBGdY7XcO?usp=drive_link,
Vitamin D,10–15 minutes,Levels improve over weeks,From £74,"
• Supports energy and health
• Immune support
• Improved mood & wellbeing
• Convenient dosing
• Corrects deficiency
• Quick injection",https://drive.google.com/drive/folders/1NMb58iZD9jsRG2CDZSbmIqQOBGdY7XcO?usp=drive_link,